insee_com,lib_com,niveau_ruralite
02085,Bézu-Saint-Germain, Les ruralités résidentielles aisées
02086,Bichancourt, Les ruralités résidentielles mixtes
02087,Bieuxy, Les ruralités productives ouvrières
02088,Bièvres, Les ruralités résidentielles mixtes
02089,Billy-sur-Aisne, Les petites polarités industrielles et artisanales
02090,Billy-sur-Ourcq, Les ruralités productives ouvrières
02091,Blanzy-lès-Fismes, Les ruralités résidentielles mixtes
02093,Blérancourt, Les petites polarités mixtes
02094,Blesmes, Hors champ : DOM ou commune urbaine
02095,Bohain-en-Vermandois, Hors champ : DOM ou commune urbaine
02096,Bois-lès-Pargny, Les ruralités productives ouvrières
02097,Boncourt, Les ruralités productives ouvrières
02098,Bonneil, Les ruralités résidentielles mixtes
02099,Bonnesvalyn, Les ruralités résidentielles mixtes
02100,Bony, Les ruralités productives ouvrières
02101,Bosmont-sur-Serre, Les ruralités productives agricoles
02102,Bouconville-Vauclair, Les ruralités résidentielles aisées
02103,Boué, Les petites polarités industrielles et artisanales
02104,Bouffignereux, Les petites polarités mixtes
02105,Bouresches, Les ruralités productives ouvrières
02106,Bourg-et-Comin, Les petites polarités mixtes
02107,Bourguignon-sous-Coucy, Les ruralités résidentielles aisées
02108,Bourguignon-sous-Montbavin, Les ruralités résidentielles mixtes
02109,La Bouteille, Les ruralités productives ouvrières
02110,Braine, Les petites polarités industrielles et artisanales
02111,Brancourt-en-Laonnois, Les ruralités résidentielles mixtes
02112,Brancourt-le-Grand, Les ruralités résidentielles mixtes
02114,Brasles, Hors champ : DOM ou commune urbaine
02115,Braye-en-Laonnois, Les ruralités productives ouvrières
02116,Braye-en-Thiérache, Les ruralités productives agricoles
02117,Bray-Saint-Christophe, Les ruralités résidentielles mixtes
02118,Braye, Les petites polarités mixtes
02119,Brécy, Les ruralités résidentielles mixtes
02120,Brenelle, Les petites polarités industrielles et artisanales
02121,Breny, Les ruralités productives ouvrières
02122,Brie, Les ruralités résidentielles mixtes
02123,Brissay-Choigny, Les petites polarités mixtes
02124,Brissy-Hamégicourt, Les petites polarités industrielles et artisanales
02125,Brumetz, Les ruralités résidentielles mixtes
02126,Brunehamel, Les ruralités productives agricoles
02127,Bruyères-sur-Fère, Les ruralités résidentielles mixtes
02128,Bruyères-et-Montbérault, Les petites polarités mixtes
02129,Bruys, Les ruralités résidentielles aisées
02130,Bucilly, Les petites polarités mixtes
02131,Bucy-le-Long, Les ruralités résidentielles mixtes
