insee_com,lib_com,niveau_centralite
02017,Anguilcourt-le-Sart,Communes non centre
02018,Anizy-le-Grand,Centre intermédiaire d'équipements et de services
02019,Annois,Communes non centre
02020,Any-Martin-Rieux,Communes non centre
02021,Archon,Communes non centre
02022,Arcy-Sainte-Restitue,Communes non centre
02023,Armentières-sur-Ourcq,Communes non centre
02024,Arrancy,Communes non centre
02025,Artemps,Communes non centre
02027,Assis-sur-Serre,Communes non centre
02028,Athies-sous-Laon,Centre local d'équipements et de services
02029,Attilly,Communes non centre
02030,Aubencheul-aux-Bois,Communes non centre
02031,Aubenton,Centre local d'équipements et de services
02032,Aubigny-aux-Kaisnes,Communes non centre
02033,Aubigny-en-Laonnois,Communes non centre
02034,Audignicourt,Communes non centre
02035,Audigny,Communes non centre
02036,Augy,Communes non centre
02037,Aulnois-sous-Laon,Communes non centre
02038,Les Autels,Communes non centre
02039,Autremencourt,Communes non centre
02040,Autreppes,Communes non centre
02041,Autreville,Communes non centre
02042,Azy-sur-Marne,Communes non centre
02043,Bagneux,Communes non centre
02044,Bancigny,Communes non centre
02046,Barenton-Bugny,Communes non centre
02047,Barenton-Cel,Communes non centre
02048,Barenton-sur-Serre,Communes non centre
02049,Barisis-aux-Bois,Communes non centre
02050,Barzy-en-Thiérache,Communes non centre
02051,Barzy-sur-Marne,Communes non centre
02052,Bassoles-Aulers,Communes non centre
02053,Vallées en Champagne,Communes non centre
02054,Bazoches-et-Saint-Thibaut,Communes non centre
02055,Beaumé,Communes non centre
02056,Beaumont-en-Beine,Communes non centre
02057,Beaurevoir,Centre local d'équipements et de services
02058,Beaurieux,Centre local d'équipements et de services
02059,Beautor,Centre local d'équipements et de services
02060,Beauvois-en-Vermandois,Communes non centre
02061,Becquigny,Communes non centre
02062,Belleau,Communes non centre
02063,Bellenglise,Communes non centre
02064,Belleu,Centre local d'équipements et de services
02065,Bellicourt,Communes non centre
02066,Benay,Communes non centre
02067,Bergues-sur-Sambre,Communes non centre
02068,Berlancourt,Communes non centre
02069,Berlise,Communes non centre
02070,Bernot,Communes non centre
02071,Berny-Rivière,Communes non centre
02072,Berrieux,Communes non centre
02073,Berry-au-Bac,Communes non centre
02074,Bertaucourt-Epourdon,Communes non centre
02075,Berthenicourt,Communes non centre
02076,Bertricourt,Communes non centre
02078,Besmé,Communes non centre
02079,Besmont,Communes non centre
02080,Besny-et-Loizy,Communes non centre
02081,Béthancourt-en-Vaux,Communes non centre
02082,Beugneux,Communes non centre
02083,Beuvardes,Communes non centre
02084,Bézu-le-Guéry,Communes non centre
02085,Bézu-Saint-Germain,Communes non centre
02086,Bichancourt,Communes non centre
02087,Bieuxy,Communes non centre
02088,Bièvres,Communes non centre
02089,Billy-sur-Aisne,Communes non centre
02090,Billy-sur-Ourcq,Communes non centre
02091,Blanzy-lès-Fismes,Communes non centre
